KEY,Vietnamese,English
,,
Popup_ButtonConfirmLb,XÁC NHẬN,XÁC NHẬN
PopupChangeName_Title,CHỌN TÊN MÔN PHÁI,CHỌN TÊN
Popup_ButtonOKLb,CHẤP NHẬN,ĐỒNG Ý
secondsFormat,{0:00} giây,{0:00}s
daysFormat,{0} ngày,{0}d
RemoveHeroWarning,{0} giờ,{0}h
minutesFormat,{0:00} phút,{0:00}m
BP_TimeLeftCount,{0}:{1}:{2},{0}:{1}:{2}
,,
Chapter1,1 - Nhạn Môn Quan Thất Thủ,1 - Sao băng
Chapter2,2 - Võ Đang Sơn,2 - Thung lũng Amercles
Chapter3,3 - Võ Đang Cấm Địa,3 - Đền Phong ấn
Chapter4,4 - Đại Lý,4 - Vương quốc Frost
Chapter5,5 - Hang Động,5 - Đường hầm băng giá
Chapter6,6 - Vương Đô Đại Lý,6 - Ngai vàng
Chapter7,7 - Chung Nam Sơn,7 - Đế Chế Lava
Chapter8,8 - Toàn Chân Giáo,8 - Hang Hohle
Chapter9,9 - Cổ Mộ,9 - Trốn thoát khỏi lửa rồng
Chapter10,10 - Hoa Sơn,10 - Thép băng
Chapter11,11 - Thiên Hạ Ngũ Tuyệt,11 - Kẻ giết rồng
Chapter12,12 - Băng Hỏa Đảo,12 - Cướp biển khát máu
Chapter13,13 - Quang Minh Đỉnh,13 - Cảng Ngón chân thối
Chapter14,14 - Minh Giáo,14 - Vẻ đẹp vĩnh cửu
Chapter15,15 - Hậu Sơn,15 - Cánh đồng xương
Chapter16,16 - Vạn An Tự,16 - Lâu đài Skulds
Chapter17,17 - Đại Tuyết Sơn,17 - Bộ tộc phương Bắc
Chapter18,18 - Lãnh Ngạo Kiếm Tuyết,18 - Băng Quỷ
Chapter19,19 - Huyết Nhiễm Bạch Vân Thành,19 - Lò rèn huyền thoại
Chapter20,20 - Tuyết Động,20- Ác quỷ dưới hang sâu
Chapter21,21 - Đường Môn,21-Đầm Lầy
Chapter22,22 - Khổng Tước Linh,22-Thanh Tẩy
Chapter23,23 - Đào Hoa Đảo,23-Đường Núi
Chapter24,24  -Nga Mi Sơn,24-Rắc Rối
Chapter25,25 - Trại Ngoại Đại Mạc,25-Camellia
Chapter26,26 - Long Quyển Phong,26-Bluebell
Chapter27,27 - Thất Tinh Kiếm,27-Rose
Chapter28,28 - Bảo Khố Bí Mật,28-Nữ Hoàng
Chapter29,29 - Bị Truy Sát,29-Magnolia
Chapter30,30 - Đoạn Thiên Nhai,30-Quỷ Dữ Trỗi Dậy
Chapter31,31 - Ảo Mộng,
Chapter32,32 - Mộng Chiến Lôi Đài,
Chapter33,33 - Hiệp Khách đảo,
Chapter34,34 - Kiếm Môn quan,
Chapter35,35 - Tụ Hiền trang,
Chapter36,36 - Thiếu Lâm Tự,
Chapter37,37 - Toàn Chân cấm địa,
Chapter38,38 - Trở lại Đại Lý,
Chapter39,39 - Đào Hoa Trận,
Chapter40,40 - Tử chiến Nhạn Môn Quan,
Chapter41,41 - Trại Bắc Thảo Nguyên,
Chapter42,42 - Trở lại Cổ Mộ,
Chapter43,43 - Tàng Kinh Các,
Chapter44,44 - Giang Nam,
Chapter45,45 - Long Môn Tiêu Cục,
Chapter46,46 - Tuyệt Tình Cốc,
,,
QUEST_Key_L5,Chìa khóa thường,Chìa khóa thường
QUEST_Key_L5_des,Một chiếc chìa khóa rỉ sét của loại cửa bình thường.,Một chiếc chìa khóa rỉ sét của loại cửa bình thường.
QUEST_Key_Golden,Chìa khóa vàng,Chìa khóa vàng
QUEST_Key_Golden_des,Chiếc chìa khóa làm từ vàng ròng thường dùng cho những cánh cửa trong Cung điện,Chiếc chìa khóa làm từ vàng ròng thường dùng cho những cánh cửa trong Cung điện
QUEST_Key_Silver,Chìa khóa bạc,Chìa khóa bạc
QUEST_Key_Silver_des,Chiếc chìa khóa làm bằng bạc của những gia đình quyền quý,Chiếc chìa khóa làm bằng bạc của những gia đình quyền quý
QUEST_Item_Dragon_Heart_Key,Chìa khóa Rồng,Chìa khóa Rồng
QUEST_Item_Dragon_Heart_Key_des,Chiếc chìa khóa đặc biệt được chạm khắc hình thần long,Chiếc chìa khóa đặc biệt trang trí với biểu tượng rồng. Truyền thuyết kể rằng các Thánh Hiệp Sĩ cất giữ vũ khí của mình sau khi tiêu diệt những con ác long trong hầm ngục và núi cao trong một kho tàng. Và chúng được khóa bởi chiếc chìa này.
QUEST_Item_Chaos_Crystal,Chaos Crystal,Ngọc hỗn mang
QUEST_Item_Chaos_Crystal_des,"One of the legendary Chaos Crystals, as old as the universe itself. The Evil Gods, Demons, were born from them and can be resealed within them. The Hero Gods learned of their power when one Demon betrayed the others and passed along their secret.","Những viên ngọc trong truyền thuyết tồn tại từ thời vũ trụ được hình thành, chính chúng đã sản sinh ra các Tà Thần và Ma quỷ và chỉ có chúng mới có thể phong ấn sức mạnh của Tà thần. Một Tà Thần cổ xưa đã phản bội và nói cho các Thánh Hiệp Sĩ biết về bí mật này."
QUEST_Item_Chaos_Crystal_Fragment,Chaos Crystal Fragment,Mảnh Hỗn Mang
QUEST_Item_Chaos_Crystal_Fragment_des,"Some Demons were too powerful to be contained and broke free. Their Chaos Crystal prisons were shattered into fragments. Though only parts of a whole, they can be used again to seal away lesser Demons.","Khi một Ác quỷ hùng mạnh thoát khỏi sự giam cầm từ bên trong một viên Ngọc hỗn mang, viên ngọc sẽ bị vỡ ra thành những mảnh nhỏ hơn. Tuy vậy, những mảnh Ngọc này vẫn có thể dùng để phong ấn những con Quỷ thứ cấp."
QUEST_Item_Rare_Metal_Ores_Crate,Hiếm Metal Ores,Khoáng hiếm
