KEY,Vietnamese,English
Avatar,Cửu Dương Chân Khí,Giant Avatar
Avatar_des,"Hấp thu chân khí chí dương, tăng [RaiseMaxHPEffect_param1_0]% Sinh Lực Tối Đa trong [RaiseMaxHPEffect_duration_0]s","Morphs into a Giant, increasing max HP by [RaiseMaxHPEffect_param1_0]% for [RaiseMaxHPEffect_duration_0] s"
Avatar_level2_des,Sức tấn công của bản thân tăng [RaiseAtkEffect_param1_1]%,"When in Giant form, ATK is increased by [RaiseAtkEffect_param1_1]%"
Avatar_level3_des,Tăng thời gian tác dụng lên thành [RaiseMaxHPEffect_duration_2]s,Effect duration is increased to [RaiseMaxHPEffect_duration_2] s
Avatar_level4_des,Tăng [AddPhysicalResistanceEffect_param1_3]% Kháng Đánh Thường và [AddMagicalResistanceEffect_param1_3]% Kháng Sát Thương Võ Công trong 12s,
SlamGround,Thái Cực Quyền,Earth Slam
SlamGround_des,Nhảy lên đấm xuống gây sát thương bằng [param1_0]% Sức Tấn Công và làm choáng kẻ địch xung quanh mục tiêu [StunEffect_duration_0]s,Triggers a ground tremor that deals [param1_0]% damage and stuns all enemies nearby for [StunEffect_duration_0] s
SlamGround_level2_des,Tăng thời gian choáng lên thành [StunEffect_duration_1]s,Stun duration is increased to [StunEffect_duration_1] s
SlamGround_level3_des,Tăng sát thương lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
DefensiveTactic,Càn Khôn Đại Na Di,Defensive Tactic
DefensiveTactic_des,"Khi Sinh Lực dưới [param1_0]%, chuyển sang thủ thế - [ModifyReceiveNormalAttackDmgEffect_param1_0]% toàn bộ các loại sát thương nhận vào.","When HP is below [param1_0]%, shifts into a defensive stance that increases all damage resistance by [ModifyReceiveNormalAttackDmgEffect_param1_0]%"
DefensiveTactic_level2_des,[ModifyReceiveNormalAttackDmgEffect_param1_1]% các loại sát thương nhận vào.,Damage resistance is increased to [ModifyReceiveNormalAttackDmgEffect_param1_1]%
DefensiveTactic_level3_des,Tác dụng khi Sinh Lực dưới [param1_2]%,Skill is activated when HP is lower than [param1_2]%
Provoke,Huyết Vũ Tinh Phong,Provoke
Provoke_des,"Gầm lên thu hút kẻ địch xung quanh tấn công [TauntEffect_duration_0]s, bản thân được tăng [RaiseDefenseEffect_param1_0]% Phòng Ngự, kẻ tấn công không thể dùng võ công khi bị khiêu khích",Causes enemies around to attack himself for [TauntEffect_duration_0] s and increases DEF by [RaiseDefenseEffect_param1_0]%
Provoke_level2_des,Lượng Phòng Ngự tăng lên thành [RaiseDefenseEffect_param1_1]%,DEF is increased to [RaiseDefenseEffect_param1_1]%
Provoke_level3_des,Kẻ địch bị phản lại [ReflectReceiveDmgEffect_param1_2]% sát thương gây ra,Reflects [ReflectReceiveDmgEffect_param1_2]% damage dealt by enemies
Resurrection,Đại Từ Đại Bi Chú,Resurrection
Resurrection_des,"Hồi sinh lại một đồng đội đã chết, sống lại với [param1_0]% Sinh Lực tối đa. Tối đa sử dụng [param2_0] lần","Resurrects a dead ally up to [param2_0] times, granting them [param1_0]% MAX HP each time"
Resurrection_level2_des,Tăng số lần hồi sinh tối đa lên thành [param2_1] lần,Max. number of resurrections is increased to [param2_1]
Resurrection_level3_des,Đồng đội giữ nguyên Nội Lực khi sống lại,"When resurrected, ally keeps their Mana"
Resurrection_level4_des,Đồng đội sống lại với [param1_3]% Sinh Lực Tối Đa,
HolyLight,Phật Quang Phổ Chiếu,Holy Light
HolyLight_des,Hồi [param1_0]% Sinh Lực cho đồng đội thấp máu nhất,Restores [param1_0]% HP to the ally with the lowest HP
HolyLight_level2_des,Đồng đội nhận được  thêm hiệu ứng phục hồi [RegenerateHPIntervalOnDemandEffect_param2_1]% Sinh Lực mỗi giây trong [RegenerateHPIntervalOnDemandEffect_duration_1]s,Ally recovers [RegenerateHPIntervalOnDemandEffect_param2_1]% HP/s for [RegenerateHPIntervalOnDemandEffect_duration_1] s
HolyLight_level3_des,Đồng thời gia tăng cho chính mình,Grants buff effect to Elysia herself.
DivineBarrier,Tiên Nhân Chỉ Lộ,Divine Barrier
DivineBarrier_des,Tạo vòng bảo vệ cho đồng đội có sức tấn công lớn nhất - kháng toàn bộ hiệu ứng xấu trong [GodEffect_duration_0]s,"Generates a protective barrier for an ally with the greatest ATK, making them immune to all negative statuses for [GodEffect_duration_0] s"
DivineBarrier_level2_des,Giải toàn bộ hiệu ứng xấu trên người đồng đội ngay khi thực hiện chiêu thức,Removes all negative statuses from that ally
DivineBarrier_level3_des,Thời gian tác dụng tăng lên thành [GodEffect_duration_2]s,Effect duration is increased to [GodEffect_duration_2] s
Bless,Phật Quang Chiến Khí,Blessing
Bless_des,Gia tăng [RaiseAtkEffect_param1_0]% Sức Tấn Công cho đồng đội có Sức Tấn Công lớn nhất. Thời gian tác dụng [RaiseAtkEffect_duration_0]s,Increases [RaiseAtkEffect_param1_0]% ATK for the ally with the greatest ATK for [RaiseAtkEffect_duration_0] s
Bless_level2_des,Tác dụng lên 2 đồng đội,Buff benefits apply to 2 allies.
Bless_level3_des,Thời gian tác dụng tăng lên thành [RaiseAtkEffect_duration_2]s,Effect duration is increased to [RaiseAtkEffect_duration_2] s
GreatArrow,Thiếu Thương Kiếm,Great Arrow
GreatArrow_des,Bắn kiếm khí từ ngón tay - gây sát thương bằng [param1_0]% Sức Tấn Công và đẩy lùi một kẻ địch ra xa,Shoots a massive magical arrow that deals [param1_0]% damage and knocks back the enemy
GreatArrow_level2_des,Kẻ địch bị giảm tốc độ di chuyển [ReduceMovementSpeedEffect_param1_1]% trong [ReduceMovementSpeedEffect_duration_1]s,Enemy movement speed is reduced by [ReduceMovementSpeedEffect_param1_1]% for [ReduceMovementSpeedEffect_duration_1] s
GreatArrow_level3_des,Sát thương tăng lên thành [param1_2]% Sức Tấn Công,Damage is increased to [param1_2]%
GreatArrow_level4_des,Kẻ trúng đòn bị Choáng [StunEffect_duration_3]s,
TripleShot,Thiếu Xung Kiếm,Triple Shot
